Geographic Area,City,percent_completed_hs,poverty_rate
CA,Morada CDP,87.5,3.3
CA,Moraga town,98.5,5
CA,Moreno Valley city,75.2,19.3
CA,Morgan Hill city,88.9,9.8
CA,Morongo Valley CDP,80.9,15.4
CA,Morro Bay city,91.2,12.9
CA,Moskowite Corner CDP,91.3,13.4
CA,Moss Beach CDP,87,5.1
CA,Moss Landing CDP,82.8,19
CA,Mountain Center CDP,100,0
CA,Mountain Gate CDP,87.2,23.4
CA,Mountain House CDP,93.2,5.8
CA,Mountain Mesa CDP,83.6,67.1
CA,Mountain Ranch CDP,96.5,18.9
CA,Mountain View CDP,84.6,21.9
CA,Mountain View city,93.1,7.8
CA,Mountain View Acres CDP,73.5,22.2
CA,Mount Hebron CDP,70,5.1
CA,Mount Hermon CDP,100,9.2
CA,Mount Laguna CDP,100,0
CA,Mount Shasta city,92.7,23.3
CA,Muir Beach CDP,100,0
CA,Murphys CDP,96.5,12.5
CA,Murrieta city,92.2,8.4
CA,Muscoy CDP,44.9,33.5
CA,Myers Flat CDP,-,-
CA,Myrtletown CDP,92.4,9.8
CA,Napa city,80.9,9.5
CA,National City city,72.3,24.5
CA,Needles city,82.1,27.7
CA,Nevada City city,96.6,13.7
CA,Newark city,87.7,7.9
CA,Newcastle CDP,94.9,13.7
CA,New Cuyama CDP,73.3,31.9
CA,Newell CDP,53.4,28.7
CA,Newman city,76,19.8
CA,New Pine Creek CDP,63.6,36.4
CA,Newport Beach city,97.7,7.1
CA,Nicasio CDP,85.7,0
CA,Nice CDP,81,27
CA,Nicolaus CDP,93.5,5.7
CA,Niland CDP,44.4,34.3
CA,Nipinnawasee CDP,94.9,16.1
CA,Nipomo CDP,84.7,12
CA,Norco city,82.5,7
CA,Nord CDP,92.8,35.9
CA,Norris Canyon CDP,96.6,0
CA,North Auburn CDP,87.5,13.6
CA,North Edwards CDP,77.5,34
CA,North El Monte CDP,89,9.2
CA,North Fair Oaks CDP,65.7,22.4
CA,North Gate CDP,90.8,8.4
CA,North Highlands CDP,83.4,27.5
CA,North Lakeport CDP,86.4,17.7
CA,North Richmond CDP,69.4,32.3
CA,North San Juan CDP,96.6,41.4
CA,North Shore CDP,35.4,37.7
CA,North Tustin CDP,97.3,3.1
CA,Norwalk city,73.5,14.3
CA,Novato city,93.3,7.7
CA,Nubieber CDP,75,31.3
CA,Nuevo CDP,75.7,21.4
CA,Oakdale city,86.1,18.6
CA,Oak Glen CDP,92.6,1.1
CA,Oak Hills CDP,79.4,9.3
CA,Oakhurst CDP,91.7,19.2
CA,Oakland city,80.4,20.4
CA,Oakley city,85.3,8.2
CA,Oak Park CDP,98.5,5.5
CA,Oak Shores CDP,100,0
CA,Oak View CDP,84.8,8.5
CA,Oakville CDP,0,0
CA,Oasis CDP,16.6,47.1
CA,Occidental CDP,98.3,1.7
CA,Oceano CDP,69,20.2
CA,Oceanside city,85.7,14.1
CA,Ocotillo CDP,86.1,48
CA,Oildale CDP,81.4,29.3
CA,Ojai city,90.9,12.8
CA,Olancha CDP,86.5,0
CA,Old Fig Garden CDP,89.2,22.5
CA,Old Station CDP,100,0
CA,Olivehurst CDP,69.6,18.8
CA,Ontario city,70.6,18.1
CA,Onyx CDP,91.1,34.4
CA,Orange city,84.2,13.2
CA,Orange Cove city,41.3,53
CA,Orangevale CDP,93.9,9.2
CA,Orcutt CDP,92,6.1
CA,Orick CDP,87.1,30.3
CA,Orinda city,98.8,2.2
CA,Orland city,76.3,27.9
CA,Orosi CDP,44.1,26.6
CA,Oroville city,83.6,23.8
CA,Oroville East CDP,85.8,13
CA,Oxnard city,65.6,16.6
CA,Pacheco CDP,87.3,12.8
CA,Pacifica city,94.2,6.1
CA,Pacific Grove city,95.5,7.6
CA,Pajaro CDP,25.5,31.9
CA,Pajaro Dunes CDP,91.5,21.6
CA,Pala CDP,65.9,25.8
CA,Palermo CDP,71.6,24.3
CA,Palmdale city,74.2,21.3
CA,Palm Desert city,91.3,10.8
CA,Palm Springs city,87.5,18.9
CA,Palo Alto city,97.4,5.4
CA,Palo Cedro CDP,97.7,2.2
CA,Palos Verdes Estates city,98.6,3.6
CA,Palo Verde CDP,66.1,0
CA,Panorama Heights CDP,60.7,0
CA,Paradise town,91.2,16
CA,Paradise CDP,99.3,6.5
CA,Paradise Park CDP,100,0
CA,Paramount city,57.9,23.1
CA,Parklawn CDP,32.5,20.3
CA,Parksdale CDP,56.3,36.7
CA,Parkway CDP,70.5,29.5
CA,Parkwood CDP,43.2,31.2
CA,Parlier city,43.2,42.3
CA,Pasadena city,87.4,15.3
CA,Pasatiempo CDP,100,0
CA,Paskenta CDP,79.7,8.3
CA,Patterson city,74.5,21.8
CA,Patterson Tract CDP,60.9,18.3
CA,Patton Village CDP,84.3,2.8
CA,Paxton CDP,-,-
CA,Paynes Creek CDP,96.9,5.7
CA,Pearsonville CDP,100,0
CA,Penngrove CDP,95.7,9.4
CA,Penn Valley CDP,95.8,43.8
CA,Penryn CDP,94.8,7.6
CA,Perris city,63.6,25.3
CA,Pescadero CDP,61.3,28.5
CA,Petaluma city,89.2,9.3
CA,Peters CDP,91.2,0
CA,Phelan CDP,80.6,17
CA,Phillipsville CDP,71.8,0
CA,Philo CDP,61.9,27.8
CA,Phoenix Lake CDP,92.9,5.5
CA,Pico Rivera city,68.2,13.7
CA,Piedmont city,98.5,5.2
CA,Pierpoint CDP,100,0
CA,Pike CDP,93.6,39.8
CA,Pine Canyon CDP,59.2,9.9
CA,Pine Flat CDP,95,24.5
CA,Pine Grove CDP,93.5,13.1
CA,Pine Hills CDP,88.5,16.1
CA,Pine Mountain Club CDP,96.2,11.5
CA,Pine Mountain Lake CDP,95.7,10.2
CA,Pine Valley CDP,97.6,9.1
CA,Pinole city,89.2,7.8
CA,Pi_on Hills CDP,81.1,18.2
CA,Pioneer CDP,89.5,7.7
CA,Piru CDP,66.7,10.1
CA,Pismo Beach city,96.3,7.1
CA,Pittsburg city,79.5,17.9
CA,Pixley CDP,37.7,50.2
CA,Placentia city,84.6,11.4
CA,Placerville city,89.2,18.5
CA,Plainview CDP,35.2,66.8
CA,Planada CDP,42.9,28.5
CA,Pleasant Hill city,96.6,9.9
CA,Pleasanton city,95.2,4.4
CA,Pleasure Point CDP,90.1,13.9
CA,Plumas Eureka CDP,100,3.9
CA,Plumas Lake CDP,88.8,4.4
CA,Plymouth city,90.8,16
CA,Point Arena city,80.7,16.6
CA,Point Reyes Station CDP,96.5,24
CA,Pollock Pines CDP,90.9,15.5
CA,Pomona city,67.5,22.1
CA,Ponderosa CDP,100,0
CA,Poplar-Cotton Center CDP,47.9,55.4
CA,Port Costa CDP,82.5,0
CA,Porterville city,66.9,30.9
CA,Port Hueneme city,79.6,15
CA,Portola city,83,21
CA,Portola Valley town,96,3.7
CA,Posey CDP,100,0
CA,Poso Park CDP,100,0
CA,Potrero CDP,49,8.8
CA,Potter Valley CDP,82.7,5
CA,Poway city,93,6
CA,Prattville CDP,100,0
CA,Princeton CDP,64.6,3.5
CA,Proberta CDP,83.1,4.5
CA,Prunedale CDP,78.9,9.8
CA,Quartz Hill CDP,85,21.8
CA,Quincy CDP,86.5,21.4
CA,Rackerby CDP,88.1,0
CA,Rail Road Flat CDP,93.3,33.5
CA,Rainbow CDP,83.2,12.6
CA,Raisin City CDP,22.2,58.2
CA,Ramona CDP,80.8,9.5
CA,Rancho Calaveras CDP,92.4,5.3
CA,Rancho Cordova city,89.3,17.2
CA,Rancho Cucamonga city,91,8.8
CA,Rancho Mirage city,95.5,11
CA,Rancho Murieta CDP,97.5,3.6
CA,Rancho Palos Verdes city,97.6,4.3
CA,Rancho San Diego CDP,92.7,8.8
CA,Rancho Santa Fe CDP,96.4,11.9
CA,Rancho Santa Margarita city,95.2,4
CA,Rancho Tehama Reserve CDP,72.6,43.2
CA,Randsburg CDP,100,10.7
CA,Red Bluff city,85.3,24
CA,Red Corral CDP,94.3,29.9
CA,Redcrest CDP,100,0
CA,Redding city,90.6,18.8
CA,Redlands city,90.4,14.3
CA,Redondo Beach city,95.8,4.7
CA,Redway CDP,88.4,10
CA,Redwood City city,84.6,9.4
CA,Redwood Valley CDP,97.3,5.4
CA,Reedley city,60.9,26.7
CA,Reliez Valley CDP,96.4,3.3
CA,Rialto city,67.4,19.7
CA,Richfield CDP,97.9,13.1
CA,Richgrove CDP,30.2,49.9
CA,Richmond city,77.1,17.5
CA,Richvale CDP,87.4,0
CA,Ridgecrest city,90.2,15.4
CA,Ridgemark CDP,96.9,2.3
CA,Rio Dell city,87.4,16.7
CA,Rio del Mar CDP,97.5,4.9
CA,Rio Linda CDP,81.2,18.7
CA,Rio Oso CDP,86.6,9.7
CA,Rio Vista city,92.1,11.7
CA,Ripley CDP,41.6,36.9
CA,Ripon city,90.6,9.8
CA,Riverbank city,75.8,12.1
CA,Riverdale CDP,63.4,32.2
CA,Riverdale Park CDP,61.1,29.1
CA,River Pines CDP,92.2,0
CA,Riverside city,78.5,18.8
CA,Robbins CDP,68,46.7
CA,Robinson Mill CDP,-,-
CA,Rocklin city,95.8,8.6
CA,Rodeo CDP,88.7,13
CA,Rodriguez Camp CDP,24.6,83
CA,Rohnert Park city,88.4,15.2
CA,Rolling Hills city,96.5,2
CA,Rolling Hills CDP,96.5,2.7
CA,Rolling Hills Estates city,98,5.4
CA,Rollingwood CDP,59.8,21.5
CA,Romoland CDP,77.8,15.7
CA,Rosamond CDP,79.9,18.7
CA,Rosedale CDP,92.2,5.7
CA,Rose Hills CDP,93.4,11.5
CA,Roseland CDP,66.1,13.4
CA,Rosemead city,66.2,19.3
CA,Rosemont CDP,90.2,17.4
CA,Roseville city,94.5,8.8
CA,Ross town,95,5.1
CA,Rossmoor CDP,97.3,2.9
CA,Rough and Ready CDP,86.9,17
CA,Round Mountain CDP,84.9,38.1
CA,Round Valley CDP,79.8,10
CA,Rouse CDP,43.7,47.3
CA,Rowland Heights CDP,84.4,11.8
CA,Running Springs CDP,94.6,12
CA,Ruth CDP,87.8,12
CA,Rutherford CDP,78.3,0
CA,Sacramento city,83.4,22
CA,St. Helena city,84.4,11.4
CA,Salida CDP,81.2,8.7
CA,Salinas city,59.5,20.2
CA,Salmon Creek CDP,100,0
CA,Salton City CDP,68.5,26.4
CA,Salton Sea Beach CDP,64.5,67.6
CA,Samoa CDP,84.9,34.3
CA,San Andreas CDP,86.3,15.8
CA,San Anselmo town,96.2,4.6
CA,San Antonio Heights CDP,92.9,3.8
CA,San Ardo CDP,35.8,28.8
CA,San Bernardino city,68.2,33.4
CA,San Bruno city,89.2,6.2
CA,San Buenaventura (Ventura) city,89.1,11.4
CA,San Carlos city,97.4,3.6
CA,San Clemente city,95.3,8
CA,Sand City city,79.6,30.8
CA,San Diego city,87.3,15.4
CA,San Diego Country Estates CDP,96,4
CA,San Dimas city,92.1,6.8
CA,San Fernando city,58.5,18.9
CA,San Francisco city,87,13.2
CA,San Gabriel city,78.1,13.8
CA,Sanger city,63.8,23
CA,San Geronimo CDP,100,10.4
CA,San Jacinto city,74.2,20.4
CA,San Joaquin city,28.1,54.2
CA,San Jose city,82.7,11.3
CA,San Juan Bautista city,88.2,8.9
CA,San Juan Capistrano city,84.4,15.4
CA,San Leandro city,82.4,10.6
CA,San Lorenzo CDP,82.4,8.8
CA,San Lucas CDP,55.5,38.2
CA,San Luis Obispo city,93.4,33.4
CA,San Marcos city,81.4,16
CA,San Marino city,94.5,5.5
CA,San Martin CDP,79.1,6.7
CA,San Mateo city,88,7.6
CA,San Miguel CDP (Contra Costa County),99.3,0.5
CA,San Miguel CDP (San Luis Obispo County),69.5,19.1
CA,San Pablo city,63.7,21.3
CA,San Pasqual CDP,96.2,2.6
CA,San Rafael city,85.8,13.2
CA,San Ramon city,97.4,4.2
CA,San Simeon CDP,85.5,34.5
CA,Santa Ana city,54.8,22.1
CA,Santa Barbara city,84.1,13.9
CA,Santa Clara city,91.9,8.4
CA,Santa Clarita city,89,9.3
CA,Santa Cruz city,92.8,23.8
CA,Santa Fe Springs city,76.8,12.6
CA,Santa Margarita CDP,89.5,15.2
CA,Santa Maria city,58.7,21.2
CA,Santa Monica city,95.3,11.3
CA,Santa Nella CDP,58.7,58.7
CA,Santa Paula city,64.3,18
CA,Santa Rosa city,85.7,12.6
CA,Santa Rosa Valley CDP,96.3,5.4
CA,Santa Susana CDP,99.2,13.4
CA,Santa Venetia CDP,91.9,9.7
CA,Santa Ynez CDP,94,8.3
CA,Santee city,92.9,7.8
CA,Saranap CDP,99.6,8.8
CA,Saratoga city,98.2,3.6
CA,Saticoy CDP,63.9,38.7
CA,Sattley CDP,100,0
CA,Sausalito city,98.8,5.6
CA,Scotia CDP,94,5.9
CA,Scotts Valley city,96.7,4.8
CA,Seacliff CDP,94.5,9.2
CA,Seal Beach city,94.9,8.1
CA,Sea Ranch CDP,98.3,2.2
CA,Searles Valley CDP,80.2,23.9
CA,Seaside city,75.8,18.7
CA,Sebastopol city,93.8,9.8
CA,Seeley CDP,58.3,40.4
CA,Selma city,62,24.3
CA,Sequoia Crest CDP,100,0
CA,Sereno del Mar CDP,100,26.2
CA,Seville CDP,38.4,62.6
CA,Shafter city,57.9,21.7
CA,Shandon CDP,72.3,11.9
CA,Shasta CDP,92.5,6.5
CA,Shasta Lake city,86.9,19.7
CA,Shaver Lake CDP,98.7,0.7
CA,Shell Ridge CDP,100,2.5
CA,Shelter Cove CDP,100,46.4
CA,Sheridan CDP,78.5,29.2
CA,Shingle Springs CDP,90.2,16.4
CA,Shingletown CDP,87.8,14.1
CA,Shoshone CDP,100,0
CA,Sierra Brooks CDP,100,0
CA,Sierra City CDP,98.2,4.6
CA,Sierra Madre city,98.4,5.7
CA,Sierra Village CDP,91.1,4.6
CA,Sierraville CDP,98.1,9.1
CA,Signal Hill city,85.9,18.1
CA,Silverado Resort CDP,100,2.4
CA,Silver City CDP,-,-
CA,Silver Lakes CDP,92.9,11.5
CA,Simi Valley city,90.5,6.1
CA,Sisquoc CDP,82.8,9.3
CA,Sky Valley CDP,80.4,24.8
CA,Sleepy Hollow CDP,96.2,4.3
CA,Smartsville CDP,100,3.7
CA,Smith Corner CDP,40,23.6
CA,Smith River CDP,84.8,27.8
CA,Snelling CDP,89.6,10.6
CA,Soda Bay CDP,89.8,13.9
CA,Soda Springs CDP,100,0
CA,Solana Beach city,93.3,6.8
CA,Soledad city,53.5,19.7
CA,Solvang city,92.8,11.1
CA,Sonoma city,92.9,10.4
CA,Sonora city,86.5,28
CA,Soquel CDP,93.8,12.9
CA,Soulsbyville CDP,94.9,7.4
CA,South Dos Palos CDP,62.3,17.5
CA,South El Monte city,49.9,20.5
CA,South Gate city,52.4,20
CA,South Lake Tahoe city,84.6,18.5
CA,South Monrovia Island CDP,66.1,15.5
CA,South Oroville CDP,71.6,41
CA,South Pasadena city,95.5,7.8
CA,South San Francisco city,83.5,7.8
CA,South San Gabriel CDP,73.8,13.1
CA,South San Jose Hills CDP,56.8,19.9
CA,South Taft CDP,74.1,19.9
CA,South Whittier CDP,75,14
CA,Spaulding CDP,89,2.3
CA,Spreckels CDP,89.3,1.8
CA,Spring Garden CDP,-,-
CA,Spring Valley CDP (Lake County),84.7,31.4
CA,Spring Valley CDP (San Diego County),86.7,12
CA,Spring Valley Lake CDP,95.3,10.5
CA,Springville CDP,96.5,30.1
CA,Squaw Valley CDP,85.9,5.6
CA,Squirrel Mountain Valley CDP,92.9,7.9
CA,Stallion Springs CDP,96.6,9
CA,Stanford CDP,98.6,21.8
CA,Stanton city,68,21.8
CA,Stevenson Ranch CDP,95.3,5.6
CA,Stevinson CDP,68.7,9.3
CA,Stinson Beach CDP,100,3.5
CA,Stirling City CDP,92.7,53.4
CA,Stockton city,74.9,25.3
CA,Stonyford CDP,77.8,27.7
CA,Storrie CDP,-,-
CA,Stratford CDP,56.3,59.2
CA,Strathmore CDP,61.7,50.8
CA,Strawberry CDP (Marin County),98.9,14.2
CA,Strawberry CDP (Tuolumne County),98.8,0
CA,Sugarloaf Mountain Park CDP,-,-
CA,Sugarloaf Saw Mill CDP,-,-
CA,Sugarloaf Village CDP,85.7,0
CA,Suisun City city,87.5,14.3
CA,Sultana CDP,28.8,60.5
CA,Summerland CDP,97.6,7.2
CA,Sunnyside CDP,91.5,18.7
CA,Sunnyside-Tahoe City CDP,97.1,6.8
CA,Sunny Slopes CDP,100,0
CA,Sunnyvale city,91.4,7.5
CA,Sunol CDP,92,10.5
CA,Sun Village CDP,65.3,18.6
CA,Susanville city,70.5,22.6
CA,Sutter CDP,91.3,8.5
CA,Sutter Creek city,91.8,19
CA,Swall Meadows CDP,100,2.1
CA,Taft city,72.3,20.6
CA,Taft Heights CDP,80.1,24.7
CA,Taft Mosswood CDP,47.4,21.8
CA,Tahoe Vista CDP,89.5,14.4
CA,Tahoma CDP,90.2,13.6
CA,Talmage CDP,71.5,10.9
CA,Tamalpais-Homestead Valley CDP,98.3,4.3
CA,Tara Hills CDP,83.3,12.3
CA,Tarpey Village CDP,88.3,12.7
CA,Taylorsville CDP,100,0
CA,Tecopa CDP,86.4,48.4
CA,Tehachapi city,75.6,22
CA,Tehama city,84.6,17.1
CA,Temecula city,91.4,7
CA,Temelec CDP,96.3,9.2
CA,Temescal Valley CDP,91.4,8
CA,Temple City city,86.2,9.6
CA,Templeton CDP,94.2,6.9
CA,Tennant CDP,66.2,69
CA,Terminous CDP,73,5.1
CA,Terra Bella CDP,35,35.3
CA,Teviston CDP,38.6,70.3
CA,Thermal CDP,41,38.3
CA,Thermalito CDP,75.3,32
CA,Thornton CDP,58.7,37.6
CA,Thousand Oaks city,92.4,6.2
CA,Thousand Palms CDP,79.3,10.1
CA,Three Rivers CDP,98.1,11.7
CA,Three Rocks CDP,19.6,0
CA,Tiburon town,98.5,3.6
CA,Timber Cove CDP,94.3,18.1
CA,Tipton CDP,34.7,33.1
CA,Tobin CDP,100,100
CA,Tomales CDP,100,13
CA,Tonyville CDP,28.5,48.6
CA,Tooleville CDP,22.4,7.9
CA,Topanga CDP,97.5,5.1
CA,Topaz CDP,53.8,35.1
CA,Toro Canyon CDP,94.7,3.2
CA,Torrance city,93.5,7
CA,Tracy city,83.4,8.6
CA,Tranquillity CDP,56.4,42.5
CA,Traver CDP,35.6,39
CA,Tres Pinos CDP,91.4,3.4
CA,Trinidad city,96.1,5.9
CA,Trinity Center CDP,91.2,17.1
CA,Trinity Village CDP,95.5,23.1
CA,Trona CDP,-,-
CA,Trowbridge CDP,90.1,4.5
CA,Truckee town,92.5,6.5
CA,Tulare city,71.7,21.7
CA,Tulelake city,61.7,27.3
CA,Tuolumne City CDP,93.7,38.3
CA,Tupman CDP,59.3,42.1
CA,Turlock city,81.2,17.5
CA,Tustin city,83.5,13.6
CA,Tuttle CDP,-,-
CA,Tuttletown CDP,100,1.5
CA,Twain CDP,100,0
CA,Twain Harte CDP,97.9,9.1
CA,Twentynine Palms city,89.9,17.9
CA,Twin Lakes CDP,89.3,15.6
CA,Ukiah city,83.5,26.5
CA,Union City city,87.8,8.1
CA,University of California-Davis CDP,99.1,53.7
CA,University of California-Merced CDP,-,-
CA,Upland city,89.1,15.5
CA,Upper Lake CDP,74.8,32.4
CA,Vacaville city,88.4,10.7
CA,Valinda CDP,66.2,12.5
CA,Vallecito CDP,100,4.1
CA,Vallejo city,87.4,18.3
CA,Valle Vista CDP,83.5,23.2
CA,Valley Acres CDP,90.6,7.5
CA,Valley Center CDP,82.4,8.5
CA,Valley Ford CDP,67.7,85.2
CA,Valley Home CDP,69.5,10.3
CA,Valley Ranch CDP,100,0
CA,Valley Springs CDP,93.1,16.9
CA,Valley Wells CDP,-,-
CA,Val Verde CDP,77,16.8
CA,Vandenberg AFB CDP,97.3,6.4
CA,Vandenberg Village CDP,94.4,7.7
CA,Verdi CDP,84.1,26.2
CA,Vernon city,72.7,2.4
CA,Victor CDP,23.4,43.2
CA,Victorville city,78.3,26
CA,View Park-Windsor Hills CDP,95.5,8.7
CA,Villa Park city,96.8,3.7
CA,Vina CDP,82.2,16
CA,Vincent CDP,72.1,8.4
CA,Vine Hill CDP,74.2,18.4
CA,Vineyard CDP,88,13.5
CA,Visalia city,82.7,21.3
CA,Vista city,76.9,17.8
CA,Vista Santa Rosa CDP,56.5,23.6
CA,Volcano CDP,100,0
CA,Volta CDP,82.9,0
CA,Walker CDP,81,8.9
CA,Wallace CDP,89.8,0
CA,Walnut city,93,6.7
CA,Walnut Creek city,97.3,5.9
CA,Walnut Grove CDP,87.4,15.8
CA,Walnut Park CDP,46.4,19.1
CA,Warm Springs CDP,73.9,7.5
CA,Warner Valley CDP,100,0
CA,Wasco city,51.1,32.7
CA,Washington CDP,25,75
CA,Waterford city,61.2,25
CA,Waterloo CDP,96.9,0
CA,Watsonville city,56.3,19.7
CA,Waukena CDP,87.5,12.6
CA,Wawona CDP,100,31.6
CA,Weaverville CDP,91.9,15.8
CA,Weed city,88.1,32.9
CA,Weedpatch CDP,31.9,42.8
CA,Weldon CDP,80.2,29.3
CA,Weott CDP,100,12.2
CA,West Athens CDP,73.9,25.7
CA,West Bishop CDP,95.2,3
CA,West Carson CDP,84.8,8.2
CA,West Covina city,83.1,10.3
CA,West Goshen CDP,49.1,76.4
CA,Westhaven-Moonstone CDP,95.8,17
CA,West Hollywood city,95.4,15.3
CA,Westlake Village city,98.1,6.1
CA,Westley CDP,33.7,60.6
CA,West Menlo Park CDP,98.5,4
CA,Westminster city,76.4,17.8
CA,West Modesto CDP,53.6,41.2
CA,Westmont CDP,69.6,37
CA,Westmorland city,55.9,42.4
CA,West Park CDP,63.3,27.1
CA,West Point CDP,89.5,36.8
CA,West Puente Valley CDP,63.6,8.6
CA,West Rancho Dominguez CDP,71,20.3
CA,West Sacramento city,82.7,17.7
CA,Westside CDP,37.7,26.2
CA,West Whittier-Los Nietos CDP,71.4,8.9
CA,Westwood CDP,95.1,24.2
CA,Wheatland city,84.3,18.1
CA,Whitehawk CDP,77.3,0
CA,Whitewater CDP,81.7,47
CA,Whitley Gardens CDP,90.7,0
CA,Whittier city,83.3,12.5
CA,Wildomar city,84.1,15
CA,Wilkerson CDP,96.7,0.5
CA,Williams city,55,15.7
CA,Willits city,84.3,30.7
CA,Willowbrook CDP,49.4,29.4
CA,Willow Creek CDP,95.2,39.2
CA,Willows city,77.9,18.7
CA,Wilsonia CDP,-,-
CA,Wilton CDP,94,11.2
CA,Winchester CDP,73.6,14.1
CA,Windsor town,86.8,4.1
CA,Winter Gardens CDP,89.9,12.8
CA,Winterhaven CDP,36.8,45.6
CA,Winters city,78.3,5.3
CA,Winton CDP,51.8,24.4
CA,Wofford Heights CDP,88.6,2.6
CA,Woodacre CDP,95.7,2.8
CA,Woodbridge CDP,86.7,9.3
CA,Woodcrest CDP,86.7,8.9
CA,Woodlake city,53.6,29.9
CA,Woodland city,79.5,14
CA,Woodlands CDP,100,0
CA,Woodside town,97.2,4.5
CA,Woodville CDP,27.2,51.8
CA,Wrightwood CDP,97,11.6
CA,Yankee Hill CDP,82,29.3
CA,Yettem CDP,20.1,44.3
CA,Yolo CDP,84.5,4.7
CA,Yorba Linda city,95.5,3.6
CA,Yosemite Lakes CDP,93.6,12.1
CA,Yosemite Valley CDP,90.9,10.7
CA,Yountville city,90.6,7.2
CA,Yreka city,84.4,34.3
CA,Yuba City city,78.3,18.5
CA,Yucaipa city,86.4,16.7
CA,Yucca Valley town,85.5,21
CA,Zayante CDP,96.4,7.7
CO,Acres Green CDP,98.1,5.1
CO,Aetna Estates CDP,77.7,26.3
CO,Aguilar town,69.8,14.8
CO,Air Force Academy CDP,97.9,3.4
CO,Akron town,87.9,12.6
CO,Alamosa city,83.8,35.1
CO,Alamosa East CDP,85,28.4
CO,Allenspark CDP,100,3
CO,Alma town,98.6,20.5
CO,Alpine CDP,100,0
CO,Altona CDP,100,10.2
CO,Amherst CDP,100,71.4
CO,Antonito town,89.1,35.4
CO,Applewood CDP,96.8,7.7
CO,Arboles CDP,92.4,5.3
CO,Aristocrat Ranchettes CDP,71.6,4.3
CO,Arriba town,90.8,16.5
CO,Arvada city,94.2,8.4
CO,Aspen city,96.7,8.8
CO,Aspen Park CDP,95.8,9.9
CO,Atwood CDP,96.8,0
CO,Ault town,86.1,15.3
CO,Aurora city,86.5,15.3
CO,Avon town,91,12.8
CO,Avondale CDP,86.7,37.9
CO,Bark Ranch CDP,100,0
CO,Basalt town,93.3,6.4
CO,Battlement Mesa CDP,84.4,6.1
CO,Bayfield town,91.5,7.4
CO,Bennett town,93.9,11.6
CO,Berkley CDP,70.3,18.7
CO,Berthoud town,97,9.3
CO,Bethune town,75.9,19.9
CO,Beulah Valley CDP,91.5,10
CO,Black Forest CDP,98,3.7
CO,Black Hawk city,96.6,20
CO,Blanca town,65.5,11.3
CO,Blende CDP,83.3,28.9
CO,Blue River town,100,8.9
CO,Blue Sky CDP,-,-
CO,Bonanza town,100,25
CO,Bonanza Mountain Estates CDP,85.4,0
CO,Boone town,83.9,29.8
CO,Boulder city,96.3,23.1
CO,Bow Mar town,99.6,1.6
CO,Brandon CDP,55.6,0
CO,Branson town,97.1,2.4
CO,Breckenridge town,99,12
CO,Brick Center CDP,100,0
CO,Brighton city,82.5,9.9
CO,Brookside town,92.8,9
CO,Broomfield city,95.7,6.5
CO,Brush city,81.8,12.1
CO,Buena Vista town,96.3,4.5
CO,Burlington city,81.7,14.9
CO,Byers CDP,90.5,8.8
CO,Calhan town,93.2,9.1
CO,Campo town,87.8,39
CO,Ca_on City city,88.4,21.6
CO,Capulin CDP,78,13.9
CO,Carbondale town,80.3,9.8
CO,Cascade-Chipita Park CDP,98.3,11.1
CO,Castle Pines city,98.6,1.1
CO,Castle Pines Village CDP,97.7,2.5
CO,Castle Rock town,96.2,5.2
CO,Cathedral CDP,100,0
CO,Catherine CDP,85.9,8.7
CO,Cattle Creek CDP,79.1,1.6
CO,Cedaredge town,90.5,28.1
CO,Centennial city,97.6,5
CO,Center town,41.1,37.2
CO,Central City city,93.2,10.5
CO,Chacra CDP,97.6,0
CO,Cheraw town,93.6,9.1
CO,Cherry Creek CDP,96.3,6.6
CO,Cherry Hills Village city,99.4,2.1
CO,Cheyenne Wells town,85.6,13
CO,Cimarron Hills CDP,92.8,7.5
CO,City of Creede town,93.8,19
CO,Clifton CDP,82.1,19.2
CO,Coal Creek CDP,99.2,0.7
CO,Coal Creek town,78.7,9.9
CO,Coaldale CDP,100,0
CO,Cokedale town,100,0
CO,Collbran town,90.4,42.9
CO,Colona CDP,-,-
CO,Colorado City CDP,100,21.5
CO,Colorado Springs city,93.1,13.4
CO,Columbine CDP,96.6,5
CO,Columbine Valley town,97.9,1.8
CO,Comanche Creek CDP,100,5.9
CO,Commerce City city,80.1,15.6
CO,Conejos CDP,91.1,6.6
CO,Copper Mountain CDP,100,29.1
CO,Cortez city,87.4,20.8
CO,Cotopaxi CDP,100,0
CO,Craig city,90.7,12.6
CO,Crawford town,90,17.1
CO,Crested Butte town,98.3,13.3
CO,Crestone town,97.6,39.2
CO,Cripple Creek city,79.4,18
CO,Crisman CDP,100,0
CO,Crook town,83,14.5
CO,Crowley town,84.3,20.2
CO,Dacono city,83,5.3
CO,Dakota Ridge CDP,96.4,3.9
CO,De Beque town,79.4,10.6
CO,Deer Trail town,96.4,17.5
CO,Del Norte town,79,30.1
CO,Delta city,85.7,15.8
CO,Denver city,86.1,17.3
CO,Derby CDP,58.5,24
CO,Dillon town,98.4,5.7
CO,Dinosaur town,78.3,18.5
CO,Divide CDP,100,0
CO,Dolores town,90.1,16.2
CO,Dotsero CDP,46,27.1
CO,Dove Creek town,87.1,15.4
CO,Dove Valley CDP,93.8,9.6
CO,Downieville-Lawson-Dumont CDP,89.8,0
CO,Durango city,95.9,13.2
CO,Eads town,92.4,12.1
